Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-05-06 09:00:00-04:00	0.72		
2026-02-04 06:00:00-05:00	0.78	0.14	-81.94
2025-11-04 16:00:00-05:00	0.87	0.65	-25.45
2025-08-06 06:00:00-04:00	0.62	0.63	1.05
2025-05-07 16:00:00-04:00	0.5	0.83	65.04
2025-02-05 06:00:00-05:00	0.6	3.64	505.63
2024-10-31 06:00:00-04:00	0.63	1.41	125.2
2024-08-06 06:00:00-04:00	0.32	0.47	48.21
2024-05-08 06:00:00-04:00	0.39	0.18	-54.55
2024-02-07 06:00:00-05:00	0.17	0.66	293.44
2023-11-07 06:00:00-05:00	0.12	0.1	-16.06
2023-07-31 20:00:00-04:00	0.23	0.34	47.4
2023-05-02 06:00:00-04:00	-0.09	-0.08	7.39
2023-02-08 06:00:00-05:00	0.03	0.57	1570.17
2022-11-01 06:00:00-04:00	-0.18	-0.61	-241.14
2022-08-02 07:00:00-04:00	-0.27	-1.33	-388.15
2022-05-04 07:00:00-04:00	-0.14	-0.1	31.87
2022-02-09 16:00:00-05:00	-0.29	0.64	320.41
2021-11-04 16:00:00-04:00	-0.3	-1.28	-328.67
2021-08-04 16:00:00-04:00	-0.32	-0.17	47.75
2021-05-05 16:00:00-04:00	-0.55	-0.06	89.08
2021-02-10 16:00:00-05:00	-0.55	-0.54	1.78
2020-11-05 16:00:00-05:00	-0.6	-0.62	-3.1
2020-08-06 16:00:00-04:00	-0.72	-0.65	9.93
2020-05-07 17:00:00-04:00	-0.7	-1.4	-98.52
